comparison,model_a,model_b,metric,test,statistic,p_value,n_datasets,effect_size_dz,adjusted_p,significant,correction,view_name
DOMINANT vs OCGNN,DOMINANT,OCGNN,roc_auc,wilcoxon,2.0,0.005859375,10,1.6967915096726913,0.046875,True,holm,scalable_detector
CoLA vs DLG-Aug,CoLA,DLG-Aug,pr_auc,wilcoxon,0.0,0.001953125,10,-1.0216819223540679,0.01953125,True,holm,scalable_detector
CoLA vs DLG-Base,CoLA,DLG-Base,pr_auc,wilcoxon,4.0,0.013671875,10,-1.0090596894531452,0.0546875,False,holm,scalable_detector
CoLA vs DOMINANT,CoLA,DOMINANT,pr_auc,wilcoxon,3.0,0.009765625,10,-1.0141409619588104,0.048828125,True,holm,scalable_detector
CoLA vs OCGNN,CoLA,OCGNN,pr_auc,wilcoxon,2.0,0.005859375,10,0.5441517799285611,0.046875,True,holm,scalable_detector
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,pr_auc,wilcoxon,27.0,1.0,10,-0.12019555584453546,1.0,False,holm,scalable_detector
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,pr_auc,wilcoxon,25.0,0.845703125,10,-0.25715180874285765,1.0,False,holm,scalable_detector
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,pr_auc,wilcoxon,0.0,0.001953125,10,1.0996376067099447,0.01953125,True,holm,scalable_detector
DLG-Base vs DOMINANT,DLG-Base,DOMINANT,pr_auc,wilcoxon,23.0,0.6953125,10,-0.30226542154664066,1.0,False,holm,scalable_detector
DLG-Base vs OCGNN,DLG-Base,OCGNN,pr_auc,wilcoxon,2.0,0.005859375,10,1.0798274001743102,0.046875,True,holm,scalable_detector
DOMINANT vs OCGNN,DOMINANT,OCGNN,pr_auc,wilcoxon,2.0,0.005859375,10,1.0557159300598546,0.046875,True,holm,scalable_detector
CoLA vs DLG-Aug,CoLA,DLG-Aug,validation_f1,wilcoxon,0.0,0.001953125,10,-1.1253214226069643,0.01953125,True,holm,scalable_detector
CoLA vs DLG-Base,CoLA,DLG-Base,validation_f1,wilcoxon,1.0,0.00390625,10,-1.0927662741543183,0.03125,True,holm,scalable_detector
CoLA vs DOMINANT,CoLA,DOMINANT,validation_f1,wilcoxon,1.0,0.00390625,10,-1.1009166683473237,0.03125,True,holm,scalable_detector
CoLA vs OCGNN,CoLA,OCGNN,validation_f1,wilcoxon,10.0,0.083984375,10,0.6048348239241095,0.3359375,False,holm,scalable_detector
DLG-Aug vs DLG-Base,DLG-Aug,DLG-Base,validation_f1,wilcoxon,23.0,0.6953125,10,0.10305107042204481,1.0,False,holm,scalable_detector
DLG-Aug vs DOMINANT,DLG-Aug,DOMINANT,validation_f1,wilcoxon,22.0,1.0,10,0.04738984231988101,1.0,False,holm,scalable_detector
DLG-Aug vs OCGNN,DLG-Aug,OCGNN,validation_f1,wilcoxon,0.0,0.001953125,10,1.3014789103955318,0.01953125,True,holm,scalable_detector
